onehotencoder__x0_day,onehotencoder__x0_days,onehotencoder__x0_hour,onehotencoder__x0_hours,onehotencoder__x1_Barajas,onehotencoder__x1_Carabanchel,onehotencoder__x1_Centro,onehotencoder__x1_Chamartin,onehotencoder__x1_Chamberi,onehotencoder__x1_CiudadLineal,onehotencoder__x1_Fuencarral,onehotencoder__x1_Hortaleza,onehotencoder__x1_Latina,onehotencoder__x1_Moncloa,onehotencoder__x1_Moratalaz,onehotencoder__x1_PuenteVallecas,onehotencoder__x1_Retiro,onehotencoder__x1_Salamanca,onehotencoder__x1_SanBlas,onehotencoder__x1_Tetuan,onehotencoder__x1_Usera,onehotencoder__x1_Vicalvaro,onehotencoder__x1_VillaVallecas,onehotencoder__x1_Villaverde,onehotencoder__x2_BedAndBreakfast,onehotencoder__x2_Condominium,onehotencoder__x2_House,onehotencoder__x2_Loft,onehotencoder__x2_Other,onehotencoder__x3_moderate,onehotencoder__x3_strict,Host Response Rate,Host Listings Count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 365,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Reviews per Month,is_EntireHome,is_Bed
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.40905019165716,-3.697580124022192,3.0,1.0,1.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,88.0,9.0,9.0,9.0,10.0,9.0,9.0,1.16,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.0,12.0,40.41112947500099,-3.708047584902519,6.0,1.0,3.0,126.0,90.0,25.0,2.0,20.0,1.0,6.0,308.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,5.03,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,40.409762239894434,-3.6988741601026778,2.0,1.0,0.0,45.0,100.0,20.0,1.0,0.0,2.0,14.0,160.0,95.0,10.0,10.0,10.0,10.0,10.0,9.0,3.16,1.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.411399727537145,-3.7014467543886487,2.0,1.0,1.0,45.0,0.0,0.0,1.0,0.0,1.0,27.0,362.0,75.0,9.0,8.0,10.0,10.0,10.0,8.0,0.23,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,164.0,40.40896511082217,-3.708517993917433,7.0,2.0,3.0,165.0,200.0,50.0,4.0,10.0,2.0,0.0,317.0,93.0,10.0,9.0,9.0,8.0,10.0,9.0,0.33,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,40.4106521082049,-3.704561885508836,2.0,1.0,1.0,50.0,100.0,10.0,2.0,0.0,1.0,3.0,250.0,98.0,10.0,10.0,10.0,10.0,9.0,10.0,6.65,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,2.0,40.42039327755164,-3.707767686794611,2.0,1.0,0.0,60.0,200.0,20.0,1.0,0.0,3.0,2.0,139.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,2.62,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,40.41020676758215,-3.7136401366408816,4.0,2.0,2.0,72.0,0.0,20.0,1.0,0.0,2.0,4.0,234.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,3.46,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,114.0,40.41790658048679,-3.712268237327199,2.0,2.0,1.0,25.0,0.0,15.0,1.0,5.0,10.0,0.0,281.0,80.0,6.0,6.0,10.0,10.0,10.0,8.0,0.05,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,40.41157755013296,-3.711500637451675,4.0,1.0,1.0,68.0,170.0,22.0,2.0,15.0,4.0,5.0,117.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,4.03,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,2.0,40.42280068795765,-3.7099665646922455,8.0,2.0,3.0,190.0,150.0,30.0,4.0,10.0,3.0,4.0,239.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,1.0,40.41502683932799,-3.712506777753237,4.0,1.0,1.0,65.0,0.0,35.0,3.0,10.0,3.0,8.0,330.0,99.0,10.0,10.0,10.0,10.0,10.0,9.0,1.47,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,7.0,40.41142014675654,-3.712795020566849,6.0,2.0,3.0,115.0,150.0,0.0,2.0,15.0,3.0,7.0,113.0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,3.98,1.0,1.0
