Host Listings Count,Neighbourhood Group Cleansed,Latitude,Longitude,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Cancellation Policy,Calculated host listings count,Reviews per Month,Name_Len,Name_Lang,Summary_Len,Summary_Lang,Space_Len,Space_Lang,Description_Len,Description_Lang,is_Thumbnail,is_HostAbout,is_ResponseInHours,Num_Host_Verifications,is_EntireHome,is_Bed,is_UpdatedToday
1.0,Centro,40.4106521082049,-3.704561885508836,Apartment,EntireHome,2,1.0,1.0,1.0,50.0,100.0,10.0,2,0,1,3,7,11,250,41,98.0,10.0,10.0,10.0,10.0,9.0,10.0,moderate,1.0,6.65,30,False,405,False,0,False,405,False,True,False,True,6,True,True,False
2.0,Centro,40.42039327755164,-3.707767686794611,Apartment,EntireHome,2,1.0,0.0,1.0,60.0,200.0,20.0,1,0,3,2,10,17,139,72,97.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,2.0,2.62,34,False,235,True,0,False,235,True,True,True,True,4,True,True,False
2.0,Centro,40.41020676758215,-3.7136401366408816,Apartment,EntireHome,4,2.0,2.0,2.0,72.0,,20.0,1,0,2,4,13,24,234,25,95.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,2.0,3.46,44,True,220,True,1000,True,1000,True,True,False,True,3,True,True,False
114.0,Centro,40.41790658048679,-3.712268237327199,Apartment,PrivateRoom,2,2.0,1.0,1.0,25.0,,15.0,1,5,10,0,0,6,281,1,80.0,6.0,6.0,10.0,10.0,10.0,8.0,strict,97.0,0.05,24,True,370,False,187,False,923,False,True,True,True,4,False,True,False
1.0,Centro,40.41157755013296,-3.711500637451675,Apartment,EntireHome,4,1.0,1.0,2.0,68.0,170.0,22.0,2,15,4,5,16,27,117,85,99.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1.0,4.03,30,True,303,True,1000,True,1000,True,True,True,True,4,True,True,False
2.0,Centro,40.42280068795765,-3.7099665646922455,Apartment,EntireHome,8,2.0,3.0,5.0,190.0,150.0,30.0,4,10,3,4,16,23,239,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,2.0,1.0,49,False,348,True,504,True,876,True,True,True,True,4,True,True,True
1.0,Centro,40.41502683932799,-3.712506777753237,Apartment,EntireHome,4,1.0,1.0,2.0,65.0,,35.0,3,10,3,8,28,55,330,14,99.0,10.0,10.0,10.0,10.0,10.0,9.0,moderate,1.0,1.47,42,True,376,True,105,True,533,True,True,True,True,3,True,True,False
7.0,Centro,40.41142014675654,-3.712795020566849,Apartment,EntireHome,6,2.0,3.0,4.0,115.0,150.0,,2,15,3,7,13,28,113,77,94.0,10.0,10.0,10.0,10.0,10.0,9.0,moderate,7.0,3.98,45,False,127,True,977,True,1000,True,True,True,True,6,True,True,True
10.0,Centro,40.41990146277968,-3.7085471924098647,Apartment,EntireHome,7,1.0,2.0,2.0,66.0,90.0,30.0,4,17,2,9,33,58,251,25,83.0,8.0,9.0,9.0,9.0,10.0,8.0,strict,9.0,1.29,40,False,248,False,187,False,855,False,True,False,True,3,True,True,True
1.0,Centro,40.41049864689701,-3.709797791677586,Apartment,EntireHome,4,1.0,1.0,2.0,149.0,100.0,40.0,2,20,2,10,39,65,331,15,100.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,1.0,0.7,35,False,283,True,999,True,1000,True,False,True,True,3,True,True,True
8.0,Centro,40.414779892145454,-3.710188877454576,Apartment,EntireHome,4,1.0,1.0,2.0,60.0,,25.0,2,15,1,10,22,39,287,9,93.0,10.0,10.0,10.0,9.0,10.0,10.0,strict,8.0,1.99,17,False,224,False,648,False,873,False,True,True,True,5,True,True,True
9.0,Centro,40.42006271464746,-3.709112808893769,Apartment,EntireHome,4,1.0,1.0,2.0,55.0,,,2,0,2,0,0,0,65,1,60.0,10.0,8.0,2.0,2.0,10.0,8.0,moderate,9.0,0.04,25,False,228,False,494,False,1000,False,False,True,False,4,True,True,False
1.0,Centro,40.42134483385701,-3.707886693097557,Apartment,EntireHome,3,1.0,1.0,2.0,65.0,150.0,,2,10,3,4,22,43,318,46,97.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1.0,3.87,35,True,215,True,524,True,953,True,False,True,True,6,True,True,False
38.0,Centro,40.42135979660683,-3.708931715789508,Apartment,PrivateRoom,2,1.0,1.0,1.0,52.0,,,1,0,1,0,0,0,0,0,,,,,,,,strict,38.0,,35,False,250,False,0,False,250,False,True,False,False,3,False,True,False
1.0,Centro,40.42048418481036,-3.708626252924358,House,EntireHome,2,1.0,1.0,1.0,65.0,,15.0,1,15,1,2,8,20,58,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1.0,0.86,50,False,499,False,269,False,1000,False,False,True,False,7,True,True,False
13.0,Centro,40.41115852672874,-3.708512279504143,Apartment,EntireHome,8,2.0,4.0,6.0,220.0,200.0,,1,0,3,2,9,20,187,69,97.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,13.0,2.96,35,True,190,True,663,True,1000,True,True,True,True,3,True,True,False
1.0,Centro,40.41158521234992,-3.708896824925671,Apartment,EntireHome,5,1.0,2.0,3.0,100.0,,20.0,4,10,3,0,5,15,112,5,92.0,9.0,8.0,10.0,10.0,10.0,10.0,moderate,1.0,0.37,35,False,226,False,0,False,246,False,True,False,True,5,True,True,False
9.0,Centro,40.42225222189367,-3.709371425197405,Condominium,EntireHome,2,1.0,0.0,1.0,51.0,,,1,0,2,1,1,5,146,53,88.0,9.0,9.0,9.0,9.0,10.0,9.0,moderate,8.0,5.08,41,False,244,True,162,False,467,True,True,True,True,3,True,True,True
1.0,Centro,40.41082844671583,-3.715530395334693,Apartment,EntireHome,4,1.0,1.0,1.0,85.0,100.0,25.0,1,0,2,6,22,26,46,0,,,,,,,,flexible,1.0,,49,True,358,True,119,True,1000,True,True,True,True,5,True,True,False
1.0,Centro,40.41357470614389,-3.7079677989698094,Apartment,PrivateRoom,2,1.0,1.0,1.0,30.0,,,1,0,2,5,24,54,329,17,89.0,9.0,8.0,9.0,9.0,10.0,9.0,flexible,1.0,2.62,23,False,270,False,67,False,410,False,True,False,True,4,False,True,False
1.0,Centro,40.41677450537192,-3.710497611160528,Apartment,EntireHome,4,1.0,1.0,1.0,64.0,,30.0,2,15,4,13,34,34,34,12,95.0,10.0,10.0,10.0,10.0,10.0,9.0,moderate,1.0,3.71,46,True,461,True,653,False,999,True,True,True,True,6,True,True,False
1.0,Centro,40.41805256863008,-3.714112620102157,Apartment,EntireHome,5,2.5,3.0,3.0,128.0,200.0,40.0,4,15,3,2,11,18,270,66,98.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,1.0,2.92,34,True,237,True,694,True,932,True,True,True,True,6,True,True,False
11.0,Centro,40.41881930722014,-3.709492528522443,Apartment,EntireHome,6,1.0,3.0,3.0,95.0,,25.0,6,0,4,0,6,30,305,7,94.0,9.0,10.0,9.0,9.0,10.0,9.0,strict,10.0,0.64,34,False,246,True,369,True,914,True,False,True,False,5,True,True,False
1.0,Centro,40.41332073781132,-3.713624313613677,Apartment,EntireHome,4,1.0,1.0,2.0,40.0,,,1,0,2,0,0,0,0,9,96.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,1.0,1.07,22,False,364,True,0,False,364,True,True,False,False,3,True,True,False
1.0,Centro,40.4131019327576,-3.708738653380305,Apartment,EntireHome,5,2.0,2.0,2.0,95.0,100.0,30.0,1,0,2,0,0,0,0,3,93.0,10.0,9.0,9.0,10.0,10.0,10.0,moderate,1.0,0.25,12,False,220,True,1000,True,1000,True,False,True,False,4,True,True,False
3.0,Centro,40.41228133673259,-3.713177995647283,Apartment,EntireHome,6,2.0,2.0,3.0,115.0,170.0,45.0,5,35,2,16,46,76,351,15,85.0,9.0,9.0,10.0,9.0,10.0,9.0,strict,3.0,0.53,34,False,242,True,147,True,989,True,False,True,False,3,True,True,False
1.0,Centro,40.41245749651612,-3.712139455400565,Apartment,EntireHome,5,1.0,2.0,2.0,100.0,,20.0,4,10,3,3,9,23,271,33,96.0,10.0,10.0,10.0,10.0,10.0,10.0,moderate,1.0,2.24,28,False,249,True,220,True,999,True,True,True,True,3,True,True,True
1.0,Centro,40.41845830605075,-3.7120828801001378,Apartment,EntireHome,4,2.0,2.0,2.0,111.0,300.0,35.0,2,10,3,1,11,31,306,43,96.0,10.0,10.0,10.0,10.0,10.0,9.0,strict,1.0,1.19,31,True,0,False,490,True,490,True,False,True,False,3,True,True,False
2.0,Centro,40.421680904561015,-3.709338460777434,BedAndBreakfast,SharedRoom,16,3.0,1.0,16.0,20.0,,,1,20,1,20,37,63,338,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,2.0,0.06,35,True,0,False,917,True,917,True,True,False,True,4,False,True,False
